iter	Passed	Remaining
0	3	3730
1	7	3985
2	11	3915
3	15	3885
4	19	3845
5	23	3817
6	26	3775
7	30	3770
8	34	3768
9	38	3780
10	41	3768
11	45	3763
12	49	3749
13	52	3730
14	56	3730
15	60	3733
16	64	3720
17	67	3708
18	71	3703
19	75	3698
20	79	3689
21	82	3684
22	86	3678
23	90	3663
24	93	3643
25	96	3628
26	100	3614
27	104	3614
28	107	3598
29	110	3585
30	114	3574
31	117	3562
32	121	3556
33	124	3545
34	128	3534
35	131	3521
36	135	3517
37	138	3507
38	141	3496
39	145	3489
40	149	3500
41	153	3495
42	156	3488
43	160	3481
44	163	3471
45	167	3470
46	170	3464
47	174	3457
48	177	3448
49	181	3441
50	184	3436
51	188	3428
52	191	3421
53	195	3416
54	198	3411
55	201	3404
56	205	3395
57	208	3389
58	212	3385
59	215	3380
60	219	3373
61	222	3364
62	225	3358
63	229	3350
64	232	3346
65	236	3340
66	239	3335
67	243	3330
68	246	3322
69	249	3316
70	253	3312
71	256	3306
72	259	3301
73	263	3299
74	268	3314
75	272	3308
76	275	3304
77	279	3298
78	282	3296
79	286	3294
80	290	3296
81	294	3292
82	298	3294
83	301	3292
84	305	3289
85	309	3285
86	312	3283
87	316	3279
88	319	3274
89	323	3269
90	326	3265
91	330	3261
92	333	3255
93	337	3250
94	340	3245
95	344	3241
96	347	3236
97	351	3231
98	354	3227
99	358	3223
100	361	3219
101	364	3213
102	368	3209
103	372	3209
104	376	3206
105	379	3203
106	383	3198
107	386	3193
108	390	3189
109	393	3185
110	397	3180
111	400	3176
112	404	3175
113	408	3171
114	411	3167
115	414	3160
116	418	3156
117	421	3152
118	425	3149
119	428	3145
120	432	3141
121	436	3137
122	439	3133
123	443	3133
124	447	3130
125	450	3125
126	454	3122
127	457	3117
128	461	3116
129	464	3111
130	468	3106
131	471	3103
132	475	3100
133	479	3096
134	482	3092
135	485	3086
136	489	3082
137	492	3079
138	496	3074
139	499	3069
140	503	3066
141	506	3062
142	510	3058
143	513	3053
144	517	3049
145	520	3047
146	524	3043
147	527	3038
148	531	3034
149	534	3031
150	538	3027
151	541	3022
152	545	3018
153	548	3015
154	552	3012
155	555	3007
156	559	3004
157	562	3000
158	566	2997
159	570	2995
160	574	2993
161	577	2988
162	581	2987
163	585	2984
164	589	2980
165	592	2977
166	596	2973
167	599	2969
168	603	2965
169	606	2961
170	610	2958
171	613	2954
172	617	2951
173	620	2947
174	624	2943
175	627	2938
176	631	2934
177	634	2931
178	638	2927
179	641	2924
180	645	2920
181	648	2916
182	652	2912
183	655	2908
184	659	2905
185	662	2901
186	666	2898
187	670	2896
188	674	2892
189	677	2889
190	681	2886
191	685	2883
192	688	2879
193	692	2875
194	695	2871
195	699	2869
196	703	2867
197	707	2863
198	710	2859
199	714	2856
200	717	2852
201	721	2849
202	724	2845
203	728	2843
204	732	2839
205	735	2835
206	739	2831
207	742	2828
208	746	2825
209	749	2821
210	753	2817
211	756	2813
212	760	2809
213	763	2805
214	767	2801
215	770	2796
216	774	2794
217	777	2790
218	781	2785
219	784	2781
220	788	2778
221	791	2773
222	795	2770
223	798	2767
224	802	2763
225	805	2758
226	809	2755
227	812	2751
228	815	2746
229	819	2743
230	823	2739
231	826	2736
232	830	2732
233	833	2728
234	836	2724
235	841	2723
236	845	2720
237	849	2718
238	852	2714
239	856	2712
240	860	2708
241	863	2704
242	867	2702
243	871	2698
244	874	2694
245	878	2691
246	882	2688
247	885	2685
248	889	2681
249	892	2678
250	896	2675
251	900	2671
252	903	2668
253	907	2664
254	910	2661
255	914	2658
256	918	2655
257	922	2652
258	925	2649
259	929	2646
260	933	2643
261	937	2639
262	940	2636
263	944	2632
264	948	2629
265	951	2626
266	955	2622
267	959	2620
268	962	2616
269	966	2612
270	969	2609
271	973	2605
272	977	2603
273	981	2599
274	984	2595
275	987	2591
276	991	2587
277	994	2583
278	998	2580
279	1002	2576
280	1005	2572
281	1008	2568
282	1012	2565
283	1015	2561
284	1019	2558
285	1023	2554
286	1026	2550
287	1030	2547
288	1033	2543
289	1037	2539
290	1040	2536
291	1044	2532
292	1047	2528
293	1051	2524
294	1055	2521
295	1058	2517
296	1062	2513
297	1065	2510
298	1069	2506
299	1072	2503
300	1076	2499
301	1079	2495
302	1083	2491
303	1086	2488
304	1090	2484
305	1093	2480
306	1097	2477
307	1100	2473
308	1104	2469
309	1108	2466
310	1112	2463
311	1115	2460
312	1119	2456
313	1123	2454
314	1126	2450
315	1130	2446
316	1133	2442
317	1137	2439
318	1141	2437
319	1145	2433
320	1148	2429
321	1152	2426
322	1156	2423
323	1159	2419
324	1162	2415
325	1166	2411
326	1169	2407
327	1173	2404
328	1176	2399
329	1180	2396
330	1183	2392
331	1187	2388
332	1190	2385
333	1194	2381
334	1197	2377
335	1201	2374
336	1205	2370
337	1208	2367
338	1212	2363
339	1215	2359
340	1219	2356
341	1222	2352
342	1225	2348
343	1229	2344
344	1233	2341
345	1236	2337
346	1240	2333
347	1243	2330
348	1247	2326
349	1251	2323
350	1254	2320
351	1258	2316
352	1261	2312
353	1265	2309
354	1269	2306
355	1272	2302
356	1276	2299
357	1280	2295
358	1283	2292
359	1287	2288
360	1290	2284
361	1294	2281
362	1297	2277
363	1301	2274
364	1305	2270
365	1308	2266
366	1312	2263
367	1315	2259
368	1318	2255
369	1322	2251
370	1325	2248
371	1329	2244
372	1333	2240
373	1336	2237
374	1340	2233
375	1343	2230
376	1347	2227
377	1351	2223
378	1354	2219
379	1358	2216
380	1361	2212
381	1365	2208
382	1368	2205
383	1372	2201
384	1375	2197
385	1379	2194
386	1383	2190
387	1386	2187
388	1389	2183
389	1393	2179
390	1397	2176
391	1401	2173
392	1404	2170
393	1410	2168
394	1413	2165
395	1417	2161
396	1420	2158
397	1424	2154
398	1428	2151
399	1431	2147
400	1435	2143
401	1438	2139
402	1442	2136
403	1445	2132
404	1449	2129
405	1452	2125
406	1456	2121
407	1459	2118
408	1463	2114
409	1466	2110
410	1470	2107
411	1474	2104
412	1478	2101
413	1482	2097
414	1485	2094
415	1489	2090
416	1492	2087
417	1496	2083
418	1500	2080
419	1503	2076
420	1507	2073
