Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission,Recycling_Metal,Recycling_Paper,Recycling_Plastic,Cooking_Grill,Cooking_Microwave,Cooking_Oven,Cooking_Stove
2,0,1,1,0,1,4,2,230,2,210,2,4,7,26,1,0,2238,1,0,0,0,0,1,1
1,0,3,0,2,2,4,2,114,1,9,3,3,9,38,5,0,1892,1,0,0,0,1,0,1
2,1,0,3,3,0,5,0,138,0,2472,0,1,14,47,6,1,2595,1,0,0,0,1,1,0
2,1,0,2,3,2,4,1,157,1,74,1,3,20,5,7,1,1074,1,1,1,1,1,0,0
1,0,3,1,0,0,0,2,266,3,8457,2,1,3,5,6,2,4743,0,1,0,0,0,1,0
2,1,3,0,3,1,4,1,144,2,658,2,1,22,18,9,1,1647,1,1,0,0,1,1,1
3,0,2,0,3,0,2,0,56,1,5363,1,4,9,11,19,1,1832,0,0,0,1,0,0,0
3,0,2,3,0,2,4,1,59,3,54,3,3,5,39,15,0,2322,0,1,1,0,1,0,1
2,1,0,1,3,1,4,0,200,2,1376,1,3,3,31,15,2,2494,0,0,0,1,1,0,0
3,0,1,1,3,1,4,2,135,1,440,3,1,8,23,18,1,1178,0,0,0,1,1,0,0
0,0,3,3,3,1,4,0,146,0,1561,3,4,12,27,21,0,1427,0,1,1,0,1,0,1
1,1,3,3,0,2,4,0,111,3,69,1,5,9,4,4,1,3226,0,0,0,0,1,1,1
3,0,0,2,0,2,4,2,114,1,92,2,3,18,27,4,2,1593,0,0,1,0,0,0,1
3,0,2,0,1,0,3,1,111,1,2893,2,6,13,16,10,1,1732,1,0,1,1,1,1,1
1,1,1,0,2,1,4,2,123,1,1989,0,6,13,23,8,0,1743,1,1,1,0,0,1,1
2,0,3,0,1,1,4,0,225,3,692,0,6,9,24,15,0,2101,1,1,1,0,0,1,1
0,1,1,3,1,2,4,2,219,2,7,3,4,23,42,14,1,2609,0,0,0,1,1,1,0
