Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling_Glass,Recycling_Metal,Recycling_Paper,Recycling_Plastic,Cooking_Airfryer,Cooking_Grill,Cooking_Microwave,Cooking_Oven,Cooking_Stove,CarbonEmission
2,1,0,3,3,0,5,0,138,0,2472,0,1,14,47,6,1,0,1,0,0,0,0,1,1,0,2595
3,1,2,3,1,0,5,2,126,3,7622,1,2,6,37,9,1,0,0,0,0,0,0,0,0,1,5272
1,0,3,0,1,0,5,1,82,1,5260,3,3,14,18,17,0,1,0,0,1,1,1,0,1,1,3262
0,1,0,2,0,0,5,1,213,0,7964,0,1,16,43,9,0,0,0,1,1,0,0,0,1,1,4638
0,0,3,3,3,0,5,2,202,2,7629,1,1,17,37,2,0,1,1,0,1,1,1,0,0,0,4132
2,1,3,1,3,0,5,1,114,2,2367,1,3,1,41,23,0,1,1,1,0,0,0,0,1,1,2993
2,0,0,1,3,0,5,2,141,2,3960,1,1,7,21,1,2,0,0,1,1,0,0,0,0,0,3098
1,1,2,2,0,0,5,0,193,0,611,2,6,12,37,5,1,1,1,0,1,1,1,1,1,1,2521
0,1,2,3,0,0,5,0,280,2,672,0,3,24,34,18,0,0,1,1,1,0,0,0,0,1,2406
1,0,3,1,3,0,5,1,270,1,3114,2,3,14,5,10,1,0,0,1,0,1,1,1,1,1,2540
0,0,0,1,2,0,5,1,145,1,2885,0,4,3,33,21,1,1,0,0,1,1,1,0,0,1,2349
0,1,2,2,2,0,5,0,260,1,8130,2,7,7,27,0,1,0,1,0,1,0,0,0,1,0,4536
3,1,0,0,3,0,5,1,196,3,6254,0,6,21,45,20,2,1,1,0,1,0,0,1,0,0,5013
2,1,2,0,3,0,5,2,244,3,8725,2,7,10,46,1,1,0,1,0,1,0,0,0,0,1,7159
1,0,1,2,2,0,5,0,193,3,9812,2,3,5,31,17,0,0,1,1,1,1,1,1,0,1,6515
0,1,3,1,0,0,5,1,73,0,7976,3,5,5,15,0,0,0,1,1,1,0,0,1,0,1,4483
0,0,2,1,3,0,5,1,296,0,4910,3,5,5,40,22,1,1,1,0,1,0,0,0,1,0,2991
1,1,0,0,1,0,5,0,209,2,7258,2,1,9,27,18,0,0,1,1,0,0,0,1,1,0,5082
1,0,1,2,1,0,5,2,52,2,9006,0,4,19,46,23,1,0,1,1,0,0,0,0,0,0,5547
1,0,0,3,1,0,5,1,238,1,7014,2,2,1,10,8,1,0,0,0,1,1,1,0,0,1,3996
1,1,2,0,0,0,5,1,200,0,1644,0,3,3,27,11,2,1,1,0,1,0,0,0,1,1,2235
1,1,2,3,1,0,5,1,235,3,4383,0,2,9,6,21,1,0,1,0,1,0,0,0,0,1,4311
3,0,0,2,2,0,5,1,122,0,5954,3,4,14,11,21,0,0,0,0,0,1,1,1,0,1,3419
3,0,2,1,3,0,5,0,209,1,5323,3,3,16,3,24,1,1,0,0,0,0,0,1,0,1,2779
2,0,0,2,2,0,5,0,89,3,3208,1,2,5,9,1,0,1,0,1,1,1,1,0,1,0,3058
0,1,0,3,1,0,5,0,189,0,7953,2,7,15,21,3,0,1,0,0,0,0,0,1,0,0,4357
1,0,3,3,0,0,5,1,204,3,3315,0,6,7,36,9,2,0,1,1,0,1,1,1,0,0,3973
2,1,0,3,0,0,5,0,130,3,7885,3,6,6,18,23,2,0,1,0,0,1,1,0,0,0,6810
2,1,2,0,0,0,5,1,247,3,7749,1,5,5,20,8,1,1,1,1,0,1,1,1,0,0,6069
0,1,3,2,0,0,5,2,81,1,5499,0,4,21,27,2,1,1,0,0,0,0,0,0,1,1,3800
3,1,1,2,3,0,5,1,218,0,5278,3,3,8,15,11,1,0,0,0,0,0,0,0,1,1,3312
3,0,1,0,1,0,5,2,184,3,1614,0,3,6,48,24,2,1,0,0,1,0,0,0,0,1,2612
2,1,1,2,3,0,5,2,53,3,601,0,4,15,30,3,1,1,1,1,0,0,0,1,0,0,2729
1,0,2,0,0,0,5,2,137,1,8095,1,4,14,30,18,0,0,1,1,0,1,1,0,0,1,4960
